server_id,os_vendor,os_name,os_version,services,cpe_raw
17,ibm,aix,5.3_ml03,vios *; vios 1.5.2; vios 1.4; vios 1.5.1; vios 1.5.0,cpe:2.3:o:ibm:aix:5.3_ml03:*:*:*:*:*:*:*
18,ibm,aix,5.3.9,vios *; vios 1.5.2; vios 1.4; vios 1.5.1; vios 1.5.0,cpe:2.3:o:ibm:aix:5.3.9:*:*:*:*:*:*:*
19,ibm,aix,5.2.0,vios *; vios 1.5.2; vios 1.4; vios 1.5.1; vios 1.5.0,cpe:2.3:o:ibm:aix:5.2.0:*:*:*:*:*:*:*
20,ibm,aix,5.2.2,vios *; vios 1.5.2; vios 1.4; vios 1.5.1; vios 1.5.0,cpe:2.3:o:ibm:aix:5.2.2:*:*:*:*:*:*:*
21,ibm,aix,5.1.0.10,vios *; vios 1.5.2; vios 1.4; vios 1.5.1; vios 1.5.0,cpe:2.3:o:ibm:aix:5.1.0.10:*:*:*:*:*:*:*
22,ibm,aix,6.1.2,vios *; vios 1.5.2; vios 1.4; vios 1.5.1; vios 1.5.0,cpe:2.3:o:ibm:aix:6.1.2:*:*:*:*:*:*:*
23,ibm,aix,5.1l,vios *; vios 1.5.2; vios 1.4; vios 1.5.1; vios 1.5.0,cpe:2.3:o:ibm:aix:5.1l:*:*:*:*:*:*:*
24,ibm,aix,5.3.0,vios *; vios 1.5.2; vios 1.4; vios 1.5.1; vios 1.5.0,cpe:2.3:o:ibm:aix:5.3.0:*:*:*:*:*:*:*
25,ibm,aix,5.1,vios *; vios 1.5.2; vios 1.4; vios 1.5.1; vios 1.5.0,cpe:2.3:o:ibm:aix:5.1:*:*:*:*:*:*:*
26,ibm,aix,3.2.5,,cpe:2.3:o:ibm:aix:3.2.5:*:*:*:*:*:*:*
27,ibm,aix,3.2.4,,cpe:2.3:o:ibm:aix:3.2.4:*:*:*:*:*:*:*
28,ibm,aix,3.1,,cpe:2.3:o:ibm:aix:3.1:*:*:*:*:*:*:*
29,ibm,aix,3.2,,cpe:2.3:o:ibm:aix:3.2:*:*:*:*:*:*:*
30,ibm,aix,4.2,cde *,cpe:2.3:o:ibm:aix:4.2:*:*:*:*:*:*:*
31,ibm,aix,4.1,cde *,cpe:2.3:o:ibm:aix:4.1:*:*:*:*:*:*:*
32,ibm,aix,4.3.2,,cpe:2.3:o:ibm:aix:4.3.2:*:*:*:*:*:*:*
33,ibm,aix,4.3,,cpe:2.3:o:ibm:aix:4.3:*:*:*:*:*:*:*
34,ibm,aix,4.2.1,,cpe:2.3:o:ibm:aix:4.2.1:*:*:*:*:*:*:*
35,ibm,aix,4.3.1,,cpe:2.3:o:ibm:aix:4.3.1:*:*:*:*:*:*:*
36,ibm,aix,4.3.3,,cpe:2.3:o:ibm:aix:4.3.3:*:*:*:*:*:*:*
37,ibm,aix,7.1,vios 2.2.0.13; vios 2.2.1.0; vios 2.2.0.11; vios 2.2.0.12; vios 2.2.1.1; vios 2.2.1.3; vios 2.2.0.10; vios 2.2.3.2; vios 2.2.1.8; vios 2.2.2.4; vios 2.2.1.5; vios 2.2.1.6; vios 2.2.1.4; vios 2.2.3.1; vios 2.2.3.4; vios 2.2.1.7; vios 2.2.2.1; vios 2.2.2.2; vios 2.2.2.3; vios 2.2.3.0; vios 2.2.3.3; vios 2.2.2.5; vios 2.2.1.9; vios 2.2.2.0,cpe:2.3:o:ibm:aix:7.1:*:*:*:*:*:*:*
38,ibm,aix,4.1.4,,cpe:2.3:o:ibm:aix:4.1.4:*:*:*:*:*:*:*
39,ibm,aix,4.1.5,,cpe:2.3:o:ibm:aix:4.1.5:*:*:*:*:*:*:*
40,ibm,aix,4.1.1,,cpe:2.3:o:ibm:aix:4.1.1:*:*:*:*:*:*:*
41,ibm,aix,4.1.2,,cpe:2.3:o:ibm:aix:4.1.2:*:*:*:*:*:*:*
42,ibm,aix,4.1.3,,cpe:2.3:o:ibm:aix:4.1.3:*:*:*:*:*:*:*
43,digital,ultrix,4.0,,cpe:2.3:o:digital:ultrix:4.0:*:*:*:*:*:*:*
44,digital,ultrix,4.1,,cpe:2.3:o:digital:ultrix:4.1:*:*:*:*:*:*:*
45,sun,sunos,5.7,,cpe:2.3:o:sun:sunos:5.7:*:*:*:*:*:*:*
46,sun,solaris,7.0,,cpe:2.3:o:sun:solaris:7.0:*:x86:*:*:*:*:*
47,sun,solaris,2.6,,cpe:2.3:o:sun:solaris:2.6:*:*:*:*:*:*:*
48,sun,sunos,-,,cpe:2.3:o:sun:sunos:-:*:*:*:*:*:*:*
49,ibm,aix,7.2,vios 2.2.0.13; vios 2.2.1.0; vios 2.2.0.11; vios 2.2.0.12; vios 2.2.1.1; vios 2.2.1.3; vios 2.2.0.10; vios 2.2.3.2; vios 2.2.1.8; vios 2.2.2.4; vios 2.2.1.5; vios 2.2.1.6; vios 2.2.1.4; vios 2.2.3.1; vios 2.2.3.4; vios 2.2.1.7; vios 2.2.2.1; vios 2.2.2.2; vios 2.2.2.3; vios 2.2.3.0; vios 2.2.3.3; vios 2.2.2.0; vios 2.2.4.10; vios 2.2.4.21; vios 2.2.3.60; vios 2.2.3.50; vios 2.2.3.51; vios 2.2.3.52; vios 2.2.4.22; vios 2.2.4.0; vios 2.2.3.70; vios 2.2.0.0; vios 2.2.5.0; vios 2.2.2.70; vios 2.2.3.80; vios 2.2.4.30; vios 2.2.4.23; vios 2.2.2.6; vios 2.2.5.10,cpe:2.3:o:ibm:aix:7.2:*:*:*:*:*:*:*
50,ibm,vios,2.2.2.2,,cpe:2.3:o:ibm:vios:2.2.2.2:fp-26_sp-02:*:*:*:*:*:*
51,ibm,aix,*,,cpe:2.3:o:ibm:aix:*:*:*:*:*:*:*:*
52,sgi,irix,5.1,,cpe:2.3:o:sgi:irix:5.1:*:*:*:*:*:*:*
53,sgi,irix,5.2,,cpe:2.3:o:sgi:irix:5.2:*:*:*:*:*:*:*
54,sgi,irix,6.0.1,,cpe:2.3:o:sgi:irix:6.0.1:*:xfs:*:*:*:*:*
55,sgi,irix,5.3,,cpe:2.3:o:sgi:irix:5.3:*:*:*:*:*:*:*
56,sgi,irix,6.1,,cpe:2.3:o:sgi:irix:6.1:*:*:*:*:*:*:*
57,sgi,irix,5.0.1,,cpe:2.3:o:sgi:irix:5.0.1:*:*:*:*:*:*:*
58,sgi,irix,5.1.1,,cpe:2.3:o:sgi:irix:5.1.1:*:*:*:*:*:*:*
59,sgi,irix,6.4,,cpe:2.3:o:sgi:irix:6.4:*:*:*:*:*:*:*
60,sgi,irix,6.2,,cpe:2.3:o:sgi:irix:6.2:*:*:*:*:*:*:*
61,sgi,irix,6.3,,cpe:2.3:o:sgi:irix:6.3:*:*:*:*:*:*:*
62,sgi,irix,6.0,,cpe:2.3:o:sgi:irix:6.0:*:*:*:*:*:*:*
63,sun,sunos,4.0.3,,cpe:2.3:o:sun:sunos:4.0.3:*:*:*:*:*:*:*
64,sun,sunos,4.1,,cpe:2.3:o:sun:sunos:4.1:*:*:*:*:*:*:*
65,sun,sunos,4.1.1,,cpe:2.3:o:sun:sunos:4.1.1:*:*:*:*:*:*:*
66,redhat,enterprise_linux_desktop,7.0,xorg-server *,cpe:2.3:o:redhat:enterprise_linux_desktop:7.0:*:*:*:*:*:*:*
67,redhat,enterprise_linux_workstation,7.0,xorg-server *,cpe:2.3:o:redhat:enterprise_linux_workstation:7.0:*:*:*:*:*:*:*
68,redhat,enterprise_linux_server,7.0,xorg-server *,cpe:2.3:o:redhat:enterprise_linux_server:7.0:*:*:*:*:*:*:*
69,redhat,enterprise_linux_server_tus,7.6,xorg-server *,cpe:2.3:o:redhat:enterprise_linux_server_tus:7.6:*:*:*:*:*:*:*
70,redhat,enterprise_linux_server_eus,7.6,xorg-server *,cpe:2.3:o:redhat:enterprise_linux_server_eus:7.6:*:*:*:*:*:*:*
71,redhat,enterprise_linux_server_aus,7.6,xorg-server *,cpe:2.3:o:redhat:enterprise_linux_server_aus:7.6:*:*:*:*:*:*:*
72,canonical,ubuntu_linux,16.04,xorg-server *,cpe:2.3:o:canonical:ubuntu_linux:16.04:*:*:*:lts:*:*:*
73,canonical,ubuntu_linux,18.04,xorg-server *,cpe:2.3:o:canonical:ubuntu_linux:18.04:*:*:*:lts:*:*:*
74,canonical,ubuntu_linux,18.10,xorg-server *,cpe:2.3:o:canonical:ubuntu_linux:18.10:*:*:*:*:*:*:*
75,debian,debian_linux,9.0,xorg-server *,cpe:2.3:o:debian:debian_linux:9.0:*:*:*:*:*:*:*
76,ibm,aix,2.2.1,,cpe:2.3:o:ibm:aix:2.2.1:*:*:*:*:*:*:*
77,ibm,aix,4,vios 2.1; vios *; vios 1.4,cpe:2.3:o:ibm:aix:4:*:*:*:*:*:*:*
78,ibm,aix,4.2.1.12,vios 2.1; vios *; vios 1.4,cpe:2.3:o:ibm:aix:4.2.1.12:*:*:*:*:*:*:*
79,ibm,aix,1.2.1,vios 2.1; vios *; vios 1.4,cpe:2.3:o:ibm:aix:1.2.1:*:*:*:*:*:*:*
80,ibm,aix,4.3.0,vios 2.1; vios *; vios 1.4,cpe:2.3:o:ibm:aix:4.3.0:*:*:*:*:*:*:*
81,ibm,aix,430,vios 2.1; vios *; vios 1.4,cpe:2.3:o:ibm:aix:430:*:*:*:*:*:*:*
82,ibm,aix,3.2.0,vios 2.1; vios *; vios 1.4,cpe:2.3:o:ibm:aix:3.2.0:*:*:*:*:*:*:*
83,ibm,aix,4.0,vios 2.1; vios *; vios 1.4,cpe:2.3:o:ibm:aix:4.0:*:*:*:*:*:*:*
84,ibm,aix,4.2.0,vios 2.1; vios *; vios 1.4,cpe:2.3:o:ibm:aix:4.2.0:*:*:*:*:*:*:*
85,ibm,aix,1.3,vios 2.1; vios *; vios 1.4,cpe:2.3:o:ibm:aix:1.3:*:*:*:*:*:*:*
86,sgi,irix,6.5,vios 2.1; vios *; vios 1.4,cpe:2.3:o:sgi:irix:6.5:*:*:*:*:*:*:*
87,google,android,8.0,,cpe:2.3:o:google:android:8.0:*:*:*:*:*:*:*
88,google,android,8.1,,cpe:2.3:o:google:android:8.1:*:*:*:*:*:*:*
89,google,android,-,,cpe:2.3:o:google:android:-:*:*:*:*:*:*:*
90,debian,debian_linux,8.0,,cpe:2.3:o:debian:debian_linux:8.0:*:*:*:*:*:*:*
91,debian,debian_linux,10.0,,cpe:2.3:o:debian:debian_linux:10.0:*:*:*:*:*:*:*
92,canonical,ubuntu_linux,19.04,,cpe:2.3:o:canonical:ubuntu_linux:19.04:*:*:*:*:*:*:*
93,google,android,9.0,,cpe:2.3:o:google:android:9.0:*:*:*:*:*:*:*
94,google,android,7.1.2,,cpe:2.3:o:google:android:7.1.2:*:*:*:*:*:*:*
95,google,android,7.0,,cpe:2.3:o:google:android:7.0:*:*:*:*:*:*:*
96,google,android,7.1.1,,cpe:2.3:o:google:android:7.1.1:*:*:*:*:*:*:*
97,google,android,6.0.1,,cpe:2.3:o:google:android:6.0.1:*:*:*:*:*:*:*
98,google,android,6.0,,cpe:2.3:o:google:android:6.0:*:*:*:*:*:*:*
99,google,android,5.1.1,,cpe:2.3:o:google:android:5.1.1:*:*:*:*:*:*:*
100,google,android,2.2.3,,cpe:2.3:o:google:android:2.2.3:*:*:*:*:*:*:*
101,google,android,2.0.1,,cpe:2.3:o:google:android:2.0.1:*:*:*:*:*:*:*
102,google,android,1.0,,cpe:2.3:o:google:android:1.0:*:*:*:*:*:*:*
103,google,android,3.2.6,,cpe:2.3:o:google:android:3.2.6:*:*:*:*:*:*:*
104,google,android,4.2,,cpe:2.3:o:google:android:4.2:*:*:*:*:*:*:*
105,google,android,1.6,,cpe:2.3:o:google:android:1.6:*:*:*:*:*:*:*
106,google,android,2.1,,cpe:2.3:o:google:android:2.1:*:*:*:*:*:*:*
107,google,android,4.1,,cpe:2.3:o:google:android:4.1:*:*:*:*:*:*:*
108,google,android,3.2.4,,cpe:2.3:o:google:android:3.2.4:*:*:*:*:*:*:*
109,google,android,3.2,,cpe:2.3:o:google:android:3.2:*:*:*:*:*:*:*
110,google,android,3.2.2,,cpe:2.3:o:google:android:3.2.2:*:*:*:*:*:*:*
111,google,android,4.0.2,,cpe:2.3:o:google:android:4.0.2:*:*:*:*:*:*:*
112,google,android,2.3,,cpe:2.3:o:google:android:2.3:rev1:*:*:*:*:*:*
113,google,android,4.4.3,,cpe:2.3:o:google:android:4.4.3:*:*:*:*:*:*:*
114,google,android,2.3.6,,cpe:2.3:o:google:android:2.3.6:*:*:*:*:*:*:*
115,google,android,4.0.4,,cpe:2.3:o:google:android:4.0.4:*:*:*:*:*:*:*
116,google,android,4.3,,cpe:2.3:o:google:android:4.3:*:*:*:*:*:*:*
117,google,android,4.0.1,,cpe:2.3:o:google:android:4.0.1:*:*:*:*:*:*:*
118,google,android,2.3.3,,cpe:2.3:o:google:android:2.3.3:*:*:*:*:*:*:*
119,google,android,3.0,,cpe:2.3:o:google:android:3.0:*:*:*:*:*:*:*
120,google,android,2.0,,cpe:2.3:o:google:android:2.0:*:*:*:*:*:*:*
121,google,android,4.2.1,,cpe:2.3:o:google:android:4.2.1:*:*:*:*:*:*:*
122,google,android,2.3.1,,cpe:2.3:o:google:android:2.3.1:*:*:*:*:*:*:*
123,google,android,2.3.5,,cpe:2.3:o:google:android:2.3.5:*:*:*:*:*:*:*
124,google,android,1.5,,cpe:2.3:o:google:android:1.5:*:*:*:*:*:*:*
125,google,android,3.1,,cpe:2.3:o:google:android:3.1:*:*:*:*:*:*:*
126,google,android,4.0.3,,cpe:2.3:o:google:android:4.0.3:*:*:*:*:*:*:*
127,google,android,2.2.1,,cpe:2.3:o:google:android:2.2.1:*:*:*:*:*:*:*
128,google,android,2.2.2,,cpe:2.3:o:google:android:2.2.2:*:*:*:*:*:*:*
129,google,android,2.2,,cpe:2.3:o:google:android:2.2:*:*:*:*:*:*:*
130,google,android,2.3.4,,cpe:2.3:o:google:android:2.3.4:*:*:*:*:*:*:*
131,google,android,4.0,,cpe:2.3:o:google:android:4.0:*:*:*:*:*:*:*
132,google,android,4.4,,cpe:2.3:o:google:android:4.4:*:*:*:*:*:*:*
133,google,android,4.4.1,,cpe:2.3:o:google:android:4.4.1:*:*:*:*:*:*:*
134,google,android,2.3.7,,cpe:2.3:o:google:android:2.3.7:*:*:*:*:*:*:*
135,google,android,1.1,,cpe:2.3:o:google:android:1.1:*:*:*:*:*:*:*
136,google,android,*,,cpe:2.3:o:google:android:*:*:*:*:*:*:*:*
137,google,android,4.2.2,,cpe:2.3:o:google:android:4.2.2:*:*:*:*:*:*:*
138,google,android,2.3.2,,cpe:2.3:o:google:android:2.3.2:*:*:*:*:*:*:*
139,google,android,4.3.1,,cpe:2.3:o:google:android:4.3.1:*:*:*:*:*:*:*
140,google,android,3.2.1,,cpe:2.3:o:google:android:3.2.1:*:*:*:*:*:*:*
141,google,android,4.4.2,,cpe:2.3:o:google:android:4.4.2:*:*:*:*:*:*:*
142,google,android,4.1.2,,cpe:2.3:o:google:android:4.1.2:*:*:*:*:*:*:*
143,google,android,5.1.0,,cpe:2.3:o:google:android:5.1.0:*:*:*:*:*:*:*
144,google,android,5.0.1,,cpe:2.3:o:google:android:5.0.1:*:*:*:*:*:*:*
145,google,android,5.0,,cpe:2.3:o:google:android:5.0:*:*:*:*:*:*:*
146,google,android,5.1,,cpe:2.3:o:google:android:5.1:*:*:*:*:*:*:*
147,google,android,7.1.0,,cpe:2.3:o:google:android:7.1.0:*:*:*:*:*:*:*
148,google,android,5.0.2,,cpe:2.3:o:google:android:5.0.2:*:*:*:*:*:*:*
149,apple,watchos,*,,cpe:2.3:o:apple:watchos:*:*:*:*:*:*:*:*
150,apple,iphone_os,*,,cpe:2.3:o:apple:iphone_os:*:*:*:*:*:*:*:*
151,apple,mac_os_x,*,,cpe:2.3:o:apple:mac_os_x:*:*:*:*:*:*:*:*
152,apple,tvos,*,,cpe:2.3:o:apple:tvos:*:*:*:*:*:*:*:*
153,google,android,4.4.4,,cpe:2.3:o:google:android:4.4.4:*:*:*:*:*:*:*
154,linux,linux_kernel,3.2.21,,cpe:2.3:o:linux:linux_kernel:3.2.21:*:*:*:*:*:*:*
155,linux,linux_kernel,3.0.25,,cpe:2.3:o:linux:linux_kernel:3.0.25:*:*:*:*:*:*:*
156,linux,linux_kernel,3.1.2,,cpe:2.3:o:linux:linux_kernel:3.1.2:*:*:*:*:*:*:*
157,linux,linux_kernel,3.0,,cpe:2.3:o:linux:linux_kernel:3.0:rc2:*:*:*:*:*:*
158,linux,linux_kernel,3.2.19,,cpe:2.3:o:linux:linux_kernel:3.2.19:*:*:*:*:*:*:*
159,linux,linux_kernel,3.0.22,,cpe:2.3:o:linux:linux_kernel:3.0.22:*:*:*:*:*:*:*
160,linux,linux_kernel,3.2.23,,cpe:2.3:o:linux:linux_kernel:3.2.23:*:*:*:*:*:*:*
161,linux,linux_kernel,3.0.5,,cpe:2.3:o:linux:linux_kernel:3.0.5:*:*:*:*:*:*:*
162,linux,linux_kernel,*,,cpe:2.3:o:linux:linux_kernel:*:rc7:*:*:*:*:*:*
163,linux,linux_kernel,3.2.18,,cpe:2.3:o:linux:linux_kernel:3.2.18:*:*:*:*:*:*:*
164,linux,linux_kernel,3.3,,cpe:2.3:o:linux:linux_kernel:3.3:rc4:*:*:*:*:*:*
165,linux,linux_kernel,3.0.38,,cpe:2.3:o:linux:linux_kernel:3.0.38:*:*:*:*:*:*:*
166,linux,linux_kernel,3.1,,cpe:2.3:o:linux:linux_kernel:3.1:rc1:*:*:*:*:*:*
167,linux,linux_kernel,3.2.5,,cpe:2.3:o:linux:linux_kernel:3.2.5:*:*:*:*:*:*:*
168,linux,linux_kernel,3.2.26,,cpe:2.3:o:linux:linux_kernel:3.2.26:*:*:*:*:*:*:*
169,linux,linux_kernel,3.0.18,,cpe:2.3:o:linux:linux_kernel:3.0.18:*:*:*:*:*:*:*
170,linux,linux_kernel,3.0.6,,cpe:2.3:o:linux:linux_kernel:3.0.6:*:*:*:*:*:*:*
171,linux,linux_kernel,3.0.36,,cpe:2.3:o:linux:linux_kernel:3.0.36:*:*:*:*:*:*:*
172,linux,linux_kernel,3.0.35,,cpe:2.3:o:linux:linux_kernel:3.0.35:*:*:*:*:*:*:*
173,linux,linux_kernel,3.0.11,,cpe:2.3:o:linux:linux_kernel:3.0.11:*:*:*:*:*:*:*
174,linux,linux_kernel,3.0.34,,cpe:2.3:o:linux:linux_kernel:3.0.34:*:*:*:*:*:*:*
175,linux,linux_kernel,3.0.32,,cpe:2.3:o:linux:linux_kernel:3.0.32:*:*:*:*:*:*:*
176,linux,linux_kernel,3.2,,cpe:2.3:o:linux:linux_kernel:3.2:rc2:*:*:*:*:*:*
177,linux,linux_kernel,3.2.16,,cpe:2.3:o:linux:linux_kernel:3.2.16:*:*:*:*:*:*:*
178,linux,linux_kernel,3.0.19,,cpe:2.3:o:linux:linux_kernel:3.0.19:*:*:*:*:*:*:*
179,linux,linux_kernel,3.2.27,,cpe:2.3:o:linux:linux_kernel:3.2.27:*:*:*:*:*:*:*
180,linux,linux_kernel,3.0.37,,cpe:2.3:o:linux:linux_kernel:3.0.37:*:*:*:*:*:*:*
181,linux,linux_kernel,3.0.4,,cpe:2.3:o:linux:linux_kernel:3.0.4:*:*:*:*:*:*:*
182,linux,linux_kernel,3.0.27,,cpe:2.3:o:linux:linux_kernel:3.0.27:*:*:*:*:*:*:*
183,linux,linux_kernel,3.2.11,,cpe:2.3:o:linux:linux_kernel:3.2.11:*:*:*:*:*:*:*
184,linux,linux_kernel,3.0.42,,cpe:2.3:o:linux:linux_kernel:3.0.42:*:*:*:*:*:*:*
185,linux,linux_kernel,3.0.23,,cpe:2.3:o:linux:linux_kernel:3.0.23:*:*:*:*:*:*:*
186,linux,linux_kernel,3.2.10,,cpe:2.3:o:linux:linux_kernel:3.2.10:*:*:*:*:*:*:*
187,linux,linux_kernel,3.0.8,,cpe:2.3:o:linux:linux_kernel:3.0.8:*:*:*:*:*:*:*
188,linux,linux_kernel,3.2.14,,cpe:2.3:o:linux:linux_kernel:3.2.14:*:*:*:*:*:*:*
189,linux,linux_kernel,3.2.29,,cpe:2.3:o:linux:linux_kernel:3.2.29:*:*:*:*:*:*:*
190,linux,linux_kernel,3.0.40,,cpe:2.3:o:linux:linux_kernel:3.0.40:*:*:*:*:*:*:*
191,linux,linux_kernel,3.0.33,,cpe:2.3:o:linux:linux_kernel:3.0.33:*:*:*:*:*:*:*
192,linux,linux_kernel,3.0.28,,cpe:2.3:o:linux:linux_kernel:3.0.28:*:*:*:*:*:*:*
193,linux,linux_kernel,3.2.25,,cpe:2.3:o:linux:linux_kernel:3.2.25:*:*:*:*:*:*:*
194,linux,linux_kernel,3.2.4,,cpe:2.3:o:linux:linux_kernel:3.2.4:*:*:*:*:*:*:*
195,linux,linux_kernel,3.0.13,,cpe:2.3:o:linux:linux_kernel:3.0.13:*:*:*:*:*:*:*
196,linux,linux_kernel,3.2.9,,cpe:2.3:o:linux:linux_kernel:3.2.9:*:*:*:*:*:*:*
197,linux,linux_kernel,3.0.10,,cpe:2.3:o:linux:linux_kernel:3.0.10:*:*:*:*:*:*:*
198,linux,linux_kernel,3.2.15,,cpe:2.3:o:linux:linux_kernel:3.2.15:*:*:*:*:*:*:*
199,linux,linux_kernel,3.0.1,,cpe:2.3:o:linux:linux_kernel:3.0.1:*:*:*:*:*:*:*
200,linux,linux_kernel,3.1.6,,cpe:2.3:o:linux:linux_kernel:3.1.6:*:*:*:*:*:*:*
201,linux,linux_kernel,3.2.20,,cpe:2.3:o:linux:linux_kernel:3.2.20:*:*:*:*:*:*:*
202,linux,linux_kernel,3.2.24,,cpe:2.3:o:linux:linux_kernel:3.2.24:*:*:*:*:*:*:*
203,linux,linux_kernel,3.2.6,,cpe:2.3:o:linux:linux_kernel:3.2.6:*:*:*:*:*:*:*
204,linux,linux_kernel,3.2.2,,cpe:2.3:o:linux:linux_kernel:3.2.2:*:*:*:*:*:*:*
205,linux,linux_kernel,3.0.17,,cpe:2.3:o:linux:linux_kernel:3.0.17:*:*:*:*:*:*:*
206,linux,linux_kernel,3.1.3,,cpe:2.3:o:linux:linux_kernel:3.1.3:*:*:*:*:*:*:*
207,linux,linux_kernel,3.1.9,,cpe:2.3:o:linux:linux_kernel:3.1.9:*:*:*:*:*:*:*
208,linux,linux_kernel,3.0.44,,cpe:2.3:o:linux:linux_kernel:3.0.44:*:*:*:*:*:*:*
209,linux,linux_kernel,3.0.16,,cpe:2.3:o:linux:linux_kernel:3.0.16:*:*:*:*:*:*:*
210,linux,linux_kernel,3.2.13,,cpe:2.3:o:linux:linux_kernel:3.2.13:*:*:*:*:*:*:*
211,linux,linux_kernel,3.0.21,,cpe:2.3:o:linux:linux_kernel:3.0.21:*:*:*:*:*:*:*
212,linux,linux_kernel,3.0.7,,cpe:2.3:o:linux:linux_kernel:3.0.7:*:*:*:*:*:*:*
213,linux,linux_kernel,3.1.5,,cpe:2.3:o:linux:linux_kernel:3.1.5:*:*:*:*:*:*:*
214,linux,linux_kernel,3.1.8,,cpe:2.3:o:linux:linux_kernel:3.1.8:*:*:*:*:*:*:*
215,linux,linux_kernel,3.2.1,,cpe:2.3:o:linux:linux_kernel:3.2.1:*:*:*:*:*:*:*
216,linux,linux_kernel,3.2.7,,cpe:2.3:o:linux:linux_kernel:3.2.7:*:*:*:*:*:*:*
217,linux,linux_kernel,3.0.20,,cpe:2.3:o:linux:linux_kernel:3.0.20:*:*:*:*:*:*:*
218,linux,linux_kernel,3.0.24,,cpe:2.3:o:linux:linux_kernel:3.0.24:*:*:*:*:*:*:*
219,linux,linux_kernel,3.0.15,,cpe:2.3:o:linux:linux_kernel:3.0.15:*:*:*:*:*:*:*
220,linux,linux_kernel,3.2.30,,cpe:2.3:o:linux:linux_kernel:3.2.30:*:*:*:*:*:*:*
221,linux,linux_kernel,3.0.39,,cpe:2.3:o:linux:linux_kernel:3.0.39:*:*:*:*:*:*:*
222,linux,linux_kernel,3.0.2,,cpe:2.3:o:linux:linux_kernel:3.0.2:*:*:*:*:*:*:*
223,linux,linux_kernel,3.1.7,,cpe:2.3:o:linux:linux_kernel:3.1.7:*:*:*:*:*:*:*
224,linux,linux_kernel,3.1.1,,cpe:2.3:o:linux:linux_kernel:3.1.1:*:*:*:*:*:*:*
225,linux,linux_kernel,3.0.12,,cpe:2.3:o:linux:linux_kernel:3.0.12:*:*:*:*:*:*:*
226,linux,linux_kernel,3.2.22,,cpe:2.3:o:linux:linux_kernel:3.2.22:*:*:*:*:*:*:*
227,linux,linux_kernel,3.2.17,,cpe:2.3:o:linux:linux_kernel:3.2.17:*:*:*:*:*:*:*
228,linux,linux_kernel,3.2.8,,cpe:2.3:o:linux:linux_kernel:3.2.8:*:*:*:*:*:*:*
229,linux,linux_kernel,3.1.10,,cpe:2.3:o:linux:linux_kernel:3.1.10:*:*:*:*:*:*:*
